"","stars","author","review_counts","review"
"73","5","Roseanne B.","6 reviews","    This tablet has taken a beating with my 4 year old son, but still works perfect! I hate the parental controls, they are not easy to work with, and he ends up buying expensive apps.   "
"74","5","CASSANDRA N.","9 reviews","    I love this little guy. I bought it mostly to listen to books while I craft, clean, workout, work, etx and boy does it work great! It holds a charge fairly long. I was impressed.   "
"75","5","tondrea m.","246 reviews","    We love our kindles and this is our go to brand. we currently have 3 in the house. I use mine mostly for reading but I like to have the option for apps and Internet browsing.    "
"76","4","Lisa V.","129 reviews","    It's a good tablet for my kids. It comes with the Amazon underground so all the apps are free but the ads are annoying. It is very cheap for a tablet yet so far is reliable    "
"77","5","Wendy E.","16 reviews","    Purchased this for my sister who was diagnosed with breast cancer. She wanted something to make time pass as she was getting chemo. She loves it and it has helped so much!    "
"78","3","Diane M.","6 reviews","    This is a middle of the road tablet. Great for the price but limited memory. Sometimes a little slow if I have too many programs open and a little slow on loading movies.   "
"79","5","Andy E.","31 reviews","    I really like that I can use my Kindle like a computer. Everything is very simple and the night time color changing screen is helpful for late night reading.   "
"80","4","Lindsay L.","90 reviews","    Received this as a gift from my parents for Christmas. Absolutely fabulous! Took a while to get used to it, but that's just like any new electronic device. "
"81","4","Lindsay L.","13 reviews","    Received this as a gift from my parents for Christmas. Absolutely fabulous! Took a while to get used to it, but that's just like any new electronic device. "
"82","5","Jamie V.","20 reviews","    I bought this tablet because i needed an upgrade, the ads on it had me a little worried but they only play when the tablet is off, very good for the price   "
"83","5","Karissa S.","124 reviews","    This is my lifeline. It has all the features you want and need in a tablet, PLUS you can read books...and it's a fraction of the cost of regular tablets.    "
"84","5","Claudia T.","6 reviews","    Bought it for my 4 year old. Love how it has the kids setting so I never have to worry about him going into the Internet or browsing inappropriate things    "
"85","5","Melissa A.","8 reviews","    My son loves his Kindle fire! He is 10 and uses it all the time. He likes to download the free apps and try them out. We also got Minecraft for about $7.   "
"86","5","Emily C.","3 reviews","    Bought this for my mom for Christmas, who is anti technology, but she can work this easily! Clear screen and lots of memory. Easy access to the internet.   "
"87","5","Abi K.","147 reviews","    Love my tablet. I use it mostly to read and for recipes when cooking. It is very convenient as I was used to doing these things on my phone previously.    "
"88","5","amarinder b.","6 reviews","    My daughter loves it. It's light and plays all of her games and watches her shows on it. The price was very good when we bought it around the holidays   "
"89","5","Amanda B.","18 reviews","    I love the fire HD 7. It has parental controls so I can control what and how long my daughter is on it. Very easy to maneuver through tabs and apps.    "
"90","4","Dionna S.","34 reviews","    This a is a great tablet for the price. clear picture easy to handle. The only complaint I have is I feel that the battery life could be better.   "
"91","5","Tacarra T.","27 reviews","    I purchased 3 of these tablets on for myself and two for my kids. They love that it holds a lot of apps and games and the battery life is long.    "
"92","5","Erin P.","12 reviews","    I love this tablet. This is the second one Iv owned and it's really dependable and durable. I read all the time so this was perfect for me.   "
"93","3","Samantha D.","18 reviews","    Great for gaming and Facebook. Fast speed and Color. Very easy to use with familyband friends. Great with books. No problems experiences.    "
"94","5","Lynne T.","315 reviews","    Great tablet and very easy to use. There is a how to guide installed on the device. I can also get free games and books through Amazon.   "
"95","5","Wanda W.","21 reviews","    I love this tablet. I can do everything like : games. books, movies and tv, and surf the web. OIt is one of the best tablets out there.   "
"96","5","Sierra T.","40 reviews","    This is my mom's, we purchased it for 50 bucks at Best Buy right before Christmas. She loves it! It works great for she using it for .    "
"97","5","lorraine p.","10 reviews","    I own an amazon kindle and I absolute love it great features on it, did not experience any problems and if I do I contact amazon.   "
"98","5","Breanne B.","45 reviews","    Love this so much and got it on sale so that's even better and then my mother bought some for when the grandkids are at the house   "
"99","3","Bianca L.","21 reviews","    Pros: I like the apps and video quality.  Cons: low sound and kids can add apps (take away storage) even with paren't controls on.    "
"100","5","Roseanne B.","27 reviews","    I more or less use mine just for reading. I had a best buy gift card so I got this tablet for $5. I would have paid full price.    "
"101","5","Kathy P.","8 reviews","    I love the Fire tablet. It is super easy to use. I actually use it for my sons movies. It has the best screen quality for him.    "
"102","5","Brian M.","18 reviews","    What an amazing product. Love how small it is. And I am able to watch Netflix on it makes it amazing to own. Go buy one now!   "
"103","5","Michelle B.","2 reviews","    I love my tablet. I love to be able t read and not have a bulky book. Also I can watch movies and play games on the Kindle   "
"104","4","Emily F.","12 reviews","    I just bought this tablet as a Christmas present! I watched so many reviews and it looks awesome. Plus it's only 50 bucks    "
"105","4","Jessie P.","4 reviews","    It's ok I could never get the internet to work properly even hooked up to internet but I mostly use it for my daughter.   "
"106","4","Kaitlin D.","21 reviews","    Perfect storage space for someone who is a heavy user. I would suggest a case whoever, and the screen is easy to break.   "
"107","5","Melissa J.","30 reviews","    Works great! Great price cant go wrong with this tablet! And has tuns of app options and can download music and books   "
"108","5","Teresa H.","126 reviews","    Such an awesome tablet. bought on for me and one for my mom. They are fast and easy to use. Very nice screen also.    "
"109","4","donna c.","2 reviews","    I love it! It's convenient and easy to use.I can watch my Netflix, check emails, games, etc. you can't go wrong   "
"110","3","Shanti B.","3 reviews","    This product used to freeze everyday multiple times. Since they sent the update I haven't had to reset it once!   "
"111","5","Amber N.","6 reviews","    We love this tablet! Both of my children have one (age 7 and 4). Easy to use, and possibilities are endless.   "
"112","5","Courtney W.","2 reviews","    This is the best tablet on the market for the money. Very easy to use, clear picture, decent camera & sound.    "
"113","5","Abigail L.","5 reviews","    I love my Amazon tablet, it works fast, it's durable. I can read my books and still do other work from it.   "
"114","3","Charmony H.","11 reviews","    Very easy to use, easy to carry around, can connect to WiFi very quickly, and its very easy to read books    "
"115","4","Debbie M.","95 reviews","    Love the tablet. Great for reading. Versatile for Internet. Newest update is taking some getting used yo   "
"116","5","Lorraine B.","31 reviews","    I love my kindle. Whether I'm reading or watching movies/tv shows it's great! Battery life is great too!    "
"117","5","amanda m.","39 reviews","    For tablets its kindles . so much space. Its big the colors on it are amazing. Love how IG has a camera.    "
"118","4","Kristy P.","44 reviews","    Love this tablet. Very easy to use. My kid doesn't have any problem using it. Love the amazon network.   "
"119","5","Monica H.","8 reviews","    Easy to use. Love the display. My kids watch movies, play games, read books and so much more on this.    "
"120","5","Marie W.","23 reviews","    I bought 2 of these for my daughters. They love them. Now, they don't have to keep using my tablet!!!   "
"121","5","Lindsay S.","4 reviews","    Bought this and a case for outhe 3 year old and he loves it. We've had no issues with this tablet.   "
"122","5","Emily S.","10 reviews","    I really love this tablet. I can do everything on it. From reading, playing games, shopping, etc.    "
"123","4","Cheryl L.","10 reviews","    I like this tablet very much.It is easy to navigate and download apps.the price was rather cheap   "
"124","3","Christian M.","46 reviews","    I have mixed feelings about this tablet it like it and the way it functions but it has few apps   "
"125","5","Chrissy P.","26 reviews","    I love my Amazon Fire Tablet! I play games on it, read books, watch movies, take pictures, etc.   "
"126","5","Karina W.","11 reviews","    A great starter tablet! It's very easy to figure out. The whole Amazon store is easy to find.    "
"127","5","Tana H.","6 reviews","    Great picture great value for the price. Amazon always has great products and fast shipping!   "
"128","5","Terrie D.","7 reviews","    This tablet is awesome, great space snd speed. Very well priced. Love the Amazon app store.   "
"129","5","Shaylla S.","6 reviews","    Love my tablet. I got it for Christmas and not one crack. And I have dropped it many times.    "
"130","5","Mckenna V.","6 reviews","    My boyfriend bought me thus tablet for christmas and I love it! Such a bang for your buck.   "
"131","4","Susan L.","37 reviews","    Easy to use. User friendly.  Very fast and I can read books and surf internet quite easily   "
"132","4","Caroline Joy H.","39 reviews","    Works great. Had it for 3 years and its in awesome condition. Very fast and kid friendly   "
"133","4","Jetta D.","18 reviews","    I really liked using this tablet to read books on Kindle and watch TV shows on Amazon.   "
"134","5","Emilia S.","50 reviews","    I bought one for all 4 of my kids for Christmas. Very kid friendly. We love ours   "
"135","5","saad s.","5 reviews","    Hello I am here for everyone I love this product, I love all the products of this company if you allow me to review this product I would be grateful to you. With my love and appreciation my name is saad  and I have a channel on YouTube with a large number of views I do a lot of reviews of electronic devices . I can help you promote your products by reviewing them in my videos for the purpose of FYI is encouraging people to buy from the internet and on time The same help the company promote Best product for Beginners I love this Products ,and i want  review this Products in my channel my adresse is Street :saada 4 rue 44 nue 14 City : tanger Country: MOROCCO   "
"136","5","Houssine F.","5 reviews","    Hello, I love all the products of this company if you allow me to review this product I would be grateful to you . I can help you promote your products by reviewing them in my videos for the purpose of  encouraging people to buy from the internet and on  The same time help the company promote Good News. Best Regards.Houssine   "
"137","5","rachel c.","5 reviews","    This is a must have for all 4 of my kids on long car trips or vacation. They hook their headphones and play music and games without disturbing anyone or arguing over the radio. Even give my husband and me time and quietness to talk on the car ride. The downside is the memory not nearly enough when you put movies on them.   "
"138","5","Laura S.","6 reviews","    Love it! It's great to travel with. I can watch movies and work as well. I think the IPAD may be better than this one but I think for a reader and movies I think the Kindle beats the Apple on that. I don't use it a lot. But I'm happy when I do. I would recommend this product to anyone!    "
"139","5","Ashley S.","13 reviews","    All my kids have a  kindle fire. I love that i can restrict content on their sign in with Amazon freetime. I love that everything is age appropriate and that i can allow them to be on the internet or not. I love that the new fires have expandable memories.    "
"140","5","Tiffany N.","7 reviews","    I love my Kindle! My ex had a decent Samsung tablet that I enjoyed, but it felt like a giant phone that made no calls. I had a cheapie e-reader I received for Christmas forever and a day ago, and I loved having access to any number of books wherever I was, but I wanted to do more than just read. The obvious choice was the Kindle.It's rare that I let my kids touch my electronics (I'm sorry, I'm just not the mom that lets their kid slobber all over their iPhone... I'm entirely too poor to replace it if they break it) but I do like that I can take advantage of the parental settings super easily with the Kindle in case I do let either my 8 or 9 year old hop on. I don't know that I'll even entertain the thought of getting something other than a Kindle when it's time to replace. It's the perfect blend of tablet and e-reader, in my opinion.    "
"141","5","Kinsey W.","5 reviews","    I wanted a tablet that was affordable and straightforward. I wanted one to watch videos with, check my mail, play games and surf the web. Quite honestly, I was sick of my phone's small screen. My Fire tablet has been wonderful.  I've shopped online, watched videos, read books, listened to music with it. The battery life has been excellent. If you have an Amazon Prime account, you'll find that the tablet works seamlessly with it. The one drawback is the camera. It has a forward and selfie camera, however the picture quality leaves a lot to be desired. Save money and buy the tablet with less GB and purchase a separate memory card-you'll greatly increase your gigs for a fraction of the price.   "
"142","5","Hiwa K.","39 reviews","    Tablet device one of the most powerful smart phones in the world of a small device and very fast in a wonderful games and Internet and a very distinctive camera and powerful device is small and distinctive   "
"143","5","Veronica P.","28 reviews","    What don't I do with my kindle? That would be a hard question to answer. Its a wonderful tablet. What I enjoy more is reading my free books from the kindle unlimited subscription. Also I subscribed to Acaciatv to be able to try different workouts routine. So exercising is another activity that I enjoy in my kindle. Doing school research, browsing, shopping, paying my bills online, playing my favorite game of all times, mage and minions and others like mahjong. I go through battery charges a lot since it is on a great part of my day. The sound and image quality are AMAZING!!! I have never had any issues with my unit. Very fast and reliable tablet.   "
"144","5","Crystal S.","14 reviews","    I purchased 2 of these for my kiddos. At just $50 a piece they are well put together for the price point. They are sturdy enough to withstand the kids.I love the parental control. It makes sure your kids can't purchase anything or see anything inappropriate. You also can put a timer on it and the Amazon Fire will shut off so you can control how long your kids play. The lock code gives only you access to let your kids use the Fire. When the kids are not using them I also like to use them to read, play games and do quick searches. I give the Amazon Fire HD Tablet 5 stars and recommend them for the little ones in your life.   "
"145","5","Yisel C.","18 reviews","    muy buena tablet compramos dos para las niñas,me gusta porque puedes controlar lo que ven,puedes ponerle un pin para acceder a internet ,fácil de usar y tiene un ano de contenido gratis!   "
